wave	name_CW	packet_name_1	packet_name_2	name_TGRC	name_CC	name_EA	name_PI	name_TS	name_BGV	name_FLA	name_LYC	name_TR	name_other	name_original_alonge	name_original_razifard	part_of_razifard	part_of_alonge	species	alonge_species	Taxon	SV Count	SV Collector Rank	SRA ID	Yield (bp)	Assigned_population	Country	Province	Collecting_locality	Local_name	Notes_from_original_collections	Latitude	Longitude	fresh_weight_(g)	dry_weight_(%)	locule_number_(count)	pericarp_thickness_(mm)	soluble_solids_(Brix)	beta-carotene_(mg/g_tissue)	lycopene_(mg/g_tissue)	citric_acid_(mg/g_tissue)	malic_acid_(mg/g_tissue)	glucose_(mg/g_tissue)	fructose_(mg/g_tissue)	alpha-tomatine_(mg/g_tissue)	dehydrotomatine_(mg/g_tissue)
5	CW0087	BGV008077							BGV008077						BGV008077	TRUE	FALSE	lycopersicum							SLC PER	PER	Arequipa	Arequipa	unknown	3 plants along the edge of a corn field mixed with other weeds. Paisanos say not planted.  Exceedingly robust and vigorous but with very few fruits. Flowers also aborting. Leaves = c (potato leaf), and stems = h (hairless). Immature green fruit of 2.5 cm diameter, spherical and 2 locules. Flowers exceedingly small = red cherry of region. 1979.	-15.456389	-74.445832999999993	14.47458333	8.798859918	3.15	1.874569444	4.8	1.51269034	55.844062659999999	6.089320388	0.326213592	13.70181818	17.54666667	2.8479569999999999E-3	2.8424E-4
5	CW0088	LA4697		LA4697					BGV006896						BGV006896	TRUE	FALSE	lycopersicum							SLC ECU	ECU	Morona Santiago	Sucúa;Morona Santiago	Tomatillo	backyard, primitive cultivar	-2.4505555559999999	-78.169722219999997	5.291805556	9.501713307	2.4125000000000001	1.6705555560000001	6.8	1.4828561330000001	50.562329589999997	8.8156862749999991	0.32780487800000002	19.138461540000002	21.485714290000001	4.7075679999999996E-3	1.0133779999999999E-3
5	CW0089	BGV008098							BGV008098						BGV008098	TRUE	FALSE	lycopersicum							SLC San Martin	PER	San Martín	Tabalosas;San Martín	unknown	In garden (1981). Chacra on N side of road with tomatitos coming up everywhere without planting.Today almost all campesinos say that the tomates del campo come up spontaneously and produce better than the grandes	-6.35	-76.650000000000006	9.187083333	8.741977537	3.2625000000000002	1.137472222	4.9000000000000004	1.094902015	33.574231140000002	6.1504587160000002	0.24950495	12.098245609999999	16.15384615	1.9727049999999999E-3	4.7222200000000001E-4
5	CW0090	LA4730		LA4730					BGV007865						BGV007865	TRUE	FALSE	lycopersicum							SLL	MEX	Yucatán	San Eduardo;Yucatán	Tomate manzano	farmland, primitive cultivar	21.216666669999999	-89.8	64.28833333	8.48456072	7.7136899999999997	3.619151515	5.8	1.8743926360000001	36.472719689999998	2.9816050129999998	0.71492044799999999	19.52061539	20.44968944	NA	NA
5	CW0091	LA4777		LA4777					BGV014508						BGV014508	TRUE	FALSE	lycopersicum							SLC PER	PER	San Martín	Alta Tangarana-Pueblo Nuevo.Tabalosos.Lamas;San Martín	unknown	the woman spread seeds on the soil. She doesn't take care of the plants	-6.3150000000000004	-76.701111109999999	16.06041667	4.137323944	2.8374999999999999	1.661666667	4.8	1.2950839030000001	26.30640988	6.6039215689999997	0.30144927500000002	11.901754390000001	14.76226415	0.18329547400000001	1.5244831E-2
5	CW0092	LA0502		LA0502	CC07265			TS-10					Marglobe	Marglobe		FALSE	TRUE	lycopersicum	SLL	S. lycopersicum fresh	2197	N/A	SRR10199004	60652849170																					
5	CW0093	BGV008225							BGV008225					BGV008225	BGV008225	TRUE	TRUE	lycopersicum	SLC	S. lycopersicum var. cerasiforme	11285	13	SRR10763453	46639450753	SLC PER	NIC	Chontales	Santo Tomás;Chontales	unknown	Vigorous plant. Fruit round, red to 1.5 cm in diameter. 1976. Collected on Cementary road out of Santo Tomas	12.016666669999999	-84.65	1.9925125	11.04168587	2.0125000000000002	0.64316666700000003	6.1	3.7141597960000001	52.77013444	9.8270373180000004	0.39649122799999997	10.62413793	13.429743589999999	2.6782461E-2	2.6206100000000002E-3
6	CW0094	LA4745		LA4745					BGV007909						BGV007909	TRUE	FALSE	lycopersicum							SLC MEX	MEX	Hidalgo	Huejutla;Hidalgo	Tomate	wildTomato, 1,5 - 2 cm	21.133333329999999	-98.416666669999998	2.658295833	9.347881995	2	0.78416666700000004	7.4	3.8233546249999999	51.766591859999998	8.0022527029999999	8.4440707000000004E-2	21.403508769999998	25.486039890000001	5.4118329999999996E-3	1.7126000000000001E-3
6	CW0095	LA4735		LA4735					BGV007875						BGV007875	TRUE	FALSE	lycopersicum							SLL	MEX	Yucatán	Deaboku;Yucatán	Tomate manzano	farmland,primitive cultivar, "Manzano"	20.8	-89.4	74.25019841	6.976338025	6.6262626259999999	3.1520000000000001	5.6	1.079526539	24.299768799999999	3.007941207	0.65729023200000003	17.625210089999999	19.90074074	7.4591000000000002E-4	1.0485299999999999E-4
6	CW0096	PI129088					PI129088								PI129088	TRUE	FALSE	lycopersicum							SLC MEX-CA-NSA	COL	Quindío	Calarca	unknown	SLL en ARS GRIN. From the market at Armenia, Columbia. Fruit cherry form, red(1938)	4.4729520000000003	-75.672685999999999	19.60125	8.187912088	2.8374999999999999	2.465416667	4.2	NA	NA	4.2250494160000001	0.27903377099999999	11.409510490000001	13.15138462	3.1490649999999999E-3	3.5247700000000002E-4
